,IP,ASN
13939,12.3.188.0,NEFCU-ASN - New England Federal Credit Union
13941,12.3.212.0,PGWORKS - PHILADELPHIA GAS WORKS
13943,12.3.223.0,THEAN8 - The Andersons Inc
13962,12.5.162.0,"TTIINC - TTI, Inc."
13977,12.6.89.0,SAIA-ASN - Saia Motor Freight Line
13982,12.6.149.0,CARTERS - The William Carter Company
13992,12.7.31.0,GEMAHS01 - GEMA/HS
13996,12.7.131.0,ELSLNET - Eldorado Hotel and Casino
14002,12.7.192.0,"WIDEVOICE - WideVoice Communications, Inc."
14006,12.7.226.0,"KEYSTONE-PEER-REVIEW - Keystone Peer Review Organization, Inc."
14014,12.9.29.0,CHUMASH-CASINO-RESORT - Chumash Casino Resort
14016,12.9.77.0,NKTR-AS02 - Nektar Therapeutics
14018,12.9.79.0,CFN-100 - Crystal Clear
14023,12.9.124.0,EDELMANAS-LAX - Daniel J. Edelman Inc.
14030,12.9.144.0,"EEA-EPSON - EPSON ELECTRONICS AMERICA, INC."
14048,12.10.66.0,"OAKLAWNRACINGANDGAMING - OAKLAWN JOCKEY CLUB, INC."
14050,12.10.87.0,"BGP-DUCKS-INC - DUCKS UNLIMITED, INC."
14073,12.11.171.0,BRIGHT-HORIZONS - Bright Horizons
14075,12.11.215.0,"WISCONSIN-VISION-ASSOCIATES-INC - Wisconsin Vision Associates, Inc."
14077,12.11.228.0,IMLNY - Isaac Morris Ltd.
14096,12.13.50.0,MONTG-47-AS - Water Works & Sanitary Sewer Board of the City of Montgomery
14149,12.16.55.0,"CLE-ORL-DC01 - Christie Lites Enterprises USA, LLC"
14154,12.17.10.0,1CHFINTL1 - CHF International
14185,12.18.244.0,FEMSS - FE Moran Security Solutions
14188,12.19.45.0,ITC-CHI - Independence Tube Corporation
14207,12.20.60.0,STEPHENGOULD-CORP - Stephen Gould Corporation
14216,12.20.155.0,SMNA-PUBLIC - Swedish Match
14220,12.20.188.0,MAXEL-4 - MAXELL CORPORATION OF AMERICA
14222,12.20.249.0,MACFCU - Mid-Atlantic Corporate Federal Credit Union
14255,12.22.204.0,"ASHP-NETWORK - American Specialty Health Plans of CA, Inc."
14259,12.23.60.0,"HNSF222 - Hotel Nikko of San Francisco, Inc."
14261,12.23.171.0,"BHSC - Berkshire Hathaway Specialty Concierge, LLC"
14269,12.23.238.0,"ECOMATLANTIC - ECOM Atlantic, Inc."
14291,12.25.72.0,WBH-46465 - William Beaumont Hospital
14295,12.25.95.0,GREYWOLF-CAPITAL - Greywolf Capital Management LP
14317,12.26.124.0,DAVEY - The Davey Tree Expert Company
14319,12.26.225.0,ASN1 - Bronson Point Management LLC
14325,12.27.67.0,MBHARCH - MBH ARCHITECTS
14338,12.27.195.0,SAF-HOLLAND - SAF HOLLAND INC.
14354,12.28.104.0,FORUM-FARGO-NOC - Forum Communications Company
14358,12.28.146.0,CORPORATE - BMC Group Inc.
14385,12.29.252.0,"VOCALOCITY - Vocalocity, Inc."
14391,12.30.153.0,"DISCOVERYIT77627 - Discovery Information Technologies, Inc."
14399,12.30.247.0,"SOMOS-CA - Somos, Inc."
14413,12.31.127.0,CDG - Communications Data Group
14415,12.31.137.0,OLDREPUBLICTITLEASOP2 - OLD REPUBLIC NATIONAL TITLE INSURANCE CO.
14417,12.31.150.0,PCMA-CHI - PCMA
14436,12.32.117.0,"CHELSIO - Chelsio Communications, Inc."
14438,12.32.166.0,"SKYTRON-AS - The KMW Group, Inc."
14448,12.33.78.0,RUDYS-AS - RUDYS INFLIGHT CATERING
14462,12.34.14.0,"HCPL-7-ASN - HALL CAPITAL PARTNERS, LLC"
14476,12.34.87.0,"TA-CHEN-INTERNATIONAL-INC - TA CHEN INTERNATIONAL, INC."
14481,12.34.126.0,SLOM-INC - SLOMIN'S INC.
14500,12.35.70.0,LOU1-STRATAPOINTE - Strata Pointe Technologies LLC
14504,12.35.137.0,LALC-ASN - Los Angeles LGBT Center
14512,12.35.248.0,RIDGEWOODPOWER-NJ - Ridgewood Power
14524,12.36.195.0,S4COMMUNICATIONS - S4 Communications LLC
14573,12.38.173.0,AS-HARTS - HART SYSTEMS INC
14578,12.38.190.0,EDELMANAS-NYC - Edleman Public Relat
14616,12.40.103.0,NGK-SPARKPLUGS-USA - NGK Sparkplugs USA
14626,12.40.206.0,"MCIT - Macomb County, Michigan"
14639,12.41.74.0,TUIUNIVS - Trident University International
14653,12.41.150.0,"SCL-ASN - Sanders Capital, LLC"
14660,12.41.206.0,SONICDRIVEIN - America's Drive-in Corp
14673,12.42.92.0,COBIZINC - CoBiz
14681,12.42.175.0,"CITIZEN-WATCH-COMPANY - Citizen Watch Company Of America, Inc."
14689,12.42.212.0,"KESTRAFINANCIAL - KESTRA FINANCIAL, INC"
14695,12.43.70.0,FSL-INTERNET - FIRST SERVICES LP
14727,12.43.216.0,"NPBI-NOC - NEW PEOPLES BANK, INC"
14734,12.44.44.0,"EXECPRO-AS - Execpro Information Services, LLC"
14750,12.45.50.0,ATMOS-ENERGY - ATMOS ENERGY CORP
14760,12.45.164.0,"SBMOFFSHORE - SBM Offshore USA, Inc."
14762,12.45.169.0,CORELAB-AS - Core Laboratories
14764,12.45.186.0,GOK201106 - Geokinetics Inc.
14820,12.48.4.0,TEXAS-HEALTH-PARTNERS-ASN-1 - Texas Health Partners LLC
14822,12.48.63.0,"CAPSTONE-FINANCIAL - Capstone Financial Advisors, Inc"
14826,12.48.114.0,OLDSECONDBANCORP - Old Second Bancorp
14861,12.51.132.0,CCCERA-AS - Contra Costa County Employees Retirement Association
14873,12.52.38.0,CJPIA-ASN1 - California Joint Powers Insurance Authority
14897,12.53.122.0,BIG5CORP - Big 5 Corp.
14903,12.53.174.0,CONAIR-EW - Conair Corporation
14905,12.54.115.0,MIDASPLUS-INC - MIDASPLUS INC.
15024,12.68.47.0,SSF-AUTO-PARTS - SSF Imported Autoparts Inc.
15029,12.68.102.0,AMILGA-BHM - Air Medical Group Holdings
15037,12.68.235.0,JEWELRY-TELEVISION - Jewelry Television
15054,12.69.190.0,ASSOCIA-ASN - Associa
15072,12.71.115.0,MDE - Million Dollar Elm Casino
15074,12.71.181.0,IBC-SA-TESORO - International Bank of Commerce
15142,12.97.56.0,"SOMOS-VA - Somos, Inc."
15148,12.97.69.0,"AECHELON-MAIN-ROUTER - AECHELON TECHNOLOGY, INC."
15156,12.97.182.0,AS394041
15182,12.104.63.0,PNG-WYO - PENN NATIONAL GAMING
15205,12.104.244.0,"AM-EX - AMERIPRISE FINANCIAL SERVICES, INC."
15214,12.105.192.0,TSYS-COLUMBUS-OC3-INTERNET - TSYS
15230,12.106.151.0,LBWL-ASN - LANSING BOARD OF WATER AND LIGHT
15239,12.106.241.0,ABM-IND-DR - ABM Industries
15249,12.107.148.0,"MEDMANAGEMENT-LLC - MedManagement, LLC"
15255,12.107.187.0,DAYTON-SUPERIOR-MIAMISBURG - DAYTON SUPERIOR CORPORATION
